"Gene","Cluster","Driving"
"ENSRNOG00000011617",1,"THC_O3_vs_VEH"
"ENSRNOG00000011625",3,"THC_O3_vs_VEH"
"ENSRNOG00000011639",1,"THC_O3_vs_VEH"
"ENSRNOG00000011669",1,"THC_O3_vs_VEH"
"ENSRNOG00000011684",1,"THC_O3_vs_VEH"
"ENSRNOG00000011732",1,"THC_O3_vs_VEH"
"ENSRNOG00000011817",1,"THC_O3_vs_VEH"
"ENSRNOG00000011829",2,"THC_O3_vs_VEH"
"ENSRNOG00000011854",3,"THC_O3_vs_VEH"
"ENSRNOG00000011857",2,"THC_O3_vs_VEH"
"ENSRNOG00000011865",1,"THC_O3_vs_VEH"
"ENSRNOG00000011884",2,"THC_O3_vs_VEH"
"ENSRNOG00000011885",3,"THC_O3_vs_VEH"
"ENSRNOG00000011933",1,"THC_O3_vs_VEH"
"ENSRNOG00000011953",2,"THC_O3_vs_VEH"
"ENSRNOG00000012002",2,"THC_O3_vs_VEH"
"ENSRNOG00000012091",1,"THC_O3_vs_VEH"
"ENSRNOG00000012151",3,"THC_O3_vs_VEH"
"ENSRNOG00000012155",1,"THC_O3_vs_VEH"
"ENSRNOG00000012213",1,"THC_O3_vs_VEH"
"ENSRNOG00000012314",1,"THC_O3_vs_VEH"
"ENSRNOG00000012322",1,"THC_O3_vs_VEH"
"ENSRNOG00000012368",1,"THC_O3_vs_VEH"
"ENSRNOG00000012386",3,"THC_O3_vs_VEH"
"ENSRNOG00000012424",3,"THC_O3_vs_VEH"
"ENSRNOG00000012503",2,"THC_O3_vs_VEH"
"ENSRNOG00000012546",2,"THC_O3_vs_VEH"
"ENSRNOG00000012584",1,"THC_O3_vs_VEH"
"ENSRNOG00000012644",2,"THC_O3_vs_VEH"
"ENSRNOG00000012697",1,"THC_O3_vs_VEH"
"ENSRNOG00000012722",1,"THC_O3_vs_VEH"
"ENSRNOG00000012734",1,"THC_O3_vs_VEH"
"ENSRNOG00000012736",1,"THC_O3_vs_VEH"
"ENSRNOG00000012778",1,"THC_O3_vs_VEH"
"ENSRNOG00000012798",2,"THC_O3_vs_VEH"
"ENSRNOG00000012812",1,"THC_O3_vs_VEH"
"ENSRNOG00000012940",2,"THC_O3_vs_VEH"
"ENSRNOG00000012985",1,"THC_O3_vs_VEH"
"ENSRNOG00000013045",3,"THC_O3_vs_VEH"
"ENSRNOG00000013055",2,"THC_O3_vs_VEH"
"ENSRNOG00000013089",3,"THC_O3_vs_VEH"
"ENSRNOG00000013110",1,"THC_O3_vs_VEH"
"ENSRNOG00000013118",1,"THC_O3_vs_VEH"
"ENSRNOG00000013140",3,"THC_O3_vs_VEH"
"ENSRNOG00000013252",1,"THC_O3_vs_VEH"
"ENSRNOG00000013254",1,"THC_O3_vs_VEH"
"ENSRNOG00000013255",1,"THC_O3_vs_VEH"
"ENSRNOG00000013271",2,"THC_O3_vs_VEH"
"ENSRNOG00000013281",3,"THC_O3_vs_VEH"
"ENSRNOG00000013314",3,"THC_O3_vs_VEH"
"ENSRNOG00000013383",1,"THC_O3_vs_VEH"
"ENSRNOG00000013386",1,"THC_O3_vs_VEH"
"ENSRNOG00000013397",3,"THC_O3_vs_VEH"
"ENSRNOG00000013422",2,"THC_O3_vs_VEH"
"ENSRNOG00000013443",2,"THC_O3_vs_VEH"
"ENSRNOG00000013460",3,"THC_O3_vs_VEH"
"ENSRNOG00000013491",2,"THC_O3_vs_VEH"
"ENSRNOG00000013545",1,"THC_O3_vs_VEH"
"ENSRNOG00000013602",2,"THC_O3_vs_VEH"
"ENSRNOG00000013624",2,"THC_O3_vs_VEH"
"ENSRNOG00000013714",1,"THC_O3_vs_VEH"
"ENSRNOG00000013718",2,"THC_O3_vs_VEH"
"ENSRNOG00000013763",2,"THC_O3_vs_VEH"
"ENSRNOG00000013802",3,"THC_O3_vs_VEH"
"ENSRNOG00000013837",2,"THC_O3_vs_VEH"
"ENSRNOG00000013844",3,"THC_O3_vs_VEH"
"ENSRNOG00000013865",2,"THC_O3_vs_VEH"
"ENSRNOG00000013874",1,"THC_O3_vs_VEH"
"ENSRNOG00000013920",3,"THC_O3_vs_VEH"
"ENSRNOG00000013954",1,"THC_O3_vs_VEH"
"ENSRNOG00000013956",2,"THC_O3_vs_VEH"
"ENSRNOG00000013963",3,"THC_O3_vs_VEH"
"ENSRNOG00000014007",3,"THC_O3_vs_VEH"
"ENSRNOG00000014008",1,"THC_O3_vs_VEH"
"ENSRNOG00000014050",1,"THC_O3_vs_VEH"
"ENSRNOG00000014130",1,"THC_O3_vs_VEH"
"ENSRNOG00000014179",1,"THC_O3_vs_VEH"
"ENSRNOG00000014180",3,"THC_O3_vs_VEH"
"ENSRNOG00000014209",2,"THC_O3_vs_VEH"
"ENSRNOG00000014214",1,"THC_O3_vs_VEH"
"ENSRNOG00000014234",2,"THC_O3_vs_VEH"
"ENSRNOG00000014252",1,"THC_O3_vs_VEH"
"ENSRNOG00000014272",1,"THC_O3_vs_VEH"
"ENSRNOG00000014316",2,"THC_O3_vs_VEH"
"ENSRNOG00000014317",1,"THC_O3_vs_VEH"
"ENSRNOG00000014352",1,"THC_O3_vs_VEH"
"ENSRNOG00000014434",2,"THC_O3_vs_VEH"
"ENSRNOG00000014436",2,"THC_O3_vs_VEH"
"ENSRNOG00000014482",2,"THC_O3_vs_VEH"
"ENSRNOG00000014483",2,"THC_O3_vs_VEH"
"ENSRNOG00000014501",2,"THC_O3_vs_VEH"
"ENSRNOG00000014511",3,"THC_O3_vs_VEH"
"ENSRNOG00000014520",1,"THC_O3_vs_VEH"
"ENSRNOG00000014521",2,"THC_O3_vs_VEH"
"ENSRNOG00000014568",1,"THC_O3_vs_VEH"
"ENSRNOG00000014581",1,"THC_O3_vs_VEH"
"ENSRNOG00000014605",3,"THC_O3_vs_VEH"
"ENSRNOG00000014618",1,"THC_O3_vs_VEH"
"ENSRNOG00000014659",1,"THC_O3_vs_VEH"
"ENSRNOG00000014664",2,"THC_O3_vs_VEH"
"ENSRNOG00000014675",2,"THC_O3_vs_VEH"
"ENSRNOG00000014750",3,"THC_O3_vs_VEH"
"ENSRNOG00000014768",3,"THC_O3_vs_VEH"
"ENSRNOG00000014791",2,"THC_O3_vs_VEH"
"ENSRNOG00000014834",2,"THC_O3_vs_VEH"
"ENSRNOG00000014836",2,"THC_O3_vs_VEH"
"ENSRNOG00000014844",3,"THC_O3_vs_VEH"
"ENSRNOG00000014866",2,"THC_O3_vs_VEH"
"ENSRNOG00000014966",1,"THC_O3_vs_VEH"
"ENSRNOG00000014975",3,"THC_O3_vs_VEH"
"ENSRNOG00000014980",1,"THC_O3_vs_VEH"
"ENSRNOG00000014992",2,"THC_O3_vs_VEH"
"ENSRNOG00000015124",2,"THC_O3_vs_VEH"
"ENSRNOG00000015133",3,"THC_O3_vs_VEH"
"ENSRNOG00000015205",1,"THC_O3_vs_VEH"
"ENSRNOG00000015231",1,"THC_O3_vs_VEH"
"ENSRNOG00000015277",1,"THC_O3_vs_VEH"
"ENSRNOG00000015288",2,"THC_O3_vs_VEH"
"ENSRNOG00000015294",1,"THC_O3_vs_VEH"
"ENSRNOG00000015301",2,"THC_O3_vs_VEH"
"ENSRNOG00000015339",2,"THC_O3_vs_VEH"
"ENSRNOG00000015440",2,"THC_O3_vs_VEH"
"ENSRNOG00000015501",3,"THC_O3_vs_VEH"
"ENSRNOG00000015523",1,"THC_O3_vs_VEH"
"ENSRNOG00000015534",2,"THC_O3_vs_VEH"
"ENSRNOG00000015560",2,"THC_O3_vs_VEH"
"ENSRNOG00000015619",3,"THC_O3_vs_VEH"
"ENSRNOG00000015703",1,"THC_O3_vs_VEH"
"ENSRNOG00000015813",2,"THC_O3_vs_VEH"
"ENSRNOG00000015844",1,"THC_O3_vs_VEH"
"ENSRNOG00000015888",3,"THC_O3_vs_VEH"
"ENSRNOG00000015936",1,"THC_O3_vs_VEH"
"ENSRNOG00000015967",1,"THC_O3_vs_VEH"
"ENSRNOG00000015980",2,"THC_O3_vs_VEH"
"ENSRNOG00000015986",2,"THC_O3_vs_VEH"
"ENSRNOG00000016029",3,"THC_O3_vs_VEH"
"ENSRNOG00000016033",1,"THC_O3_vs_VEH"
"ENSRNOG00000016047",2,"THC_O3_vs_VEH"
"ENSRNOG00000016119",3,"THC_O3_vs_VEH"
"ENSRNOG00000016166",1,"THC_O3_vs_VEH"
"ENSRNOG00000016181",3,"THC_O3_vs_VEH"
"ENSRNOG00000016212",2,"THC_O3_vs_VEH"
"ENSRNOG00000016229",2,"THC_O3_vs_VEH"
"ENSRNOG00000016272",1,"THC_O3_vs_VEH"
"ENSRNOG00000016298",2,"THC_O3_vs_VEH"
"ENSRNOG00000016303",3,"THC_O3_vs_VEH"
"ENSRNOG00000016327",1,"THC_O3_vs_VEH"
"ENSRNOG00000016384",3,"THC_O3_vs_VEH"
"ENSRNOG00000016387",1,"THC_O3_vs_VEH"
"ENSRNOG00000016392",1,"THC_O3_vs_VEH"
"ENSRNOG00000016399",1,"THC_O3_vs_VEH"
"ENSRNOG00000016411",1,"THC_O3_vs_VEH"
"ENSRNOG00000016420",1,"THC_O3_vs_VEH"
"ENSRNOG00000016427",2,"THC_O3_vs_VEH"
"ENSRNOG00000016462",2,"THC_O3_vs_VEH"
"ENSRNOG00000016507",1,"THC_O3_vs_VEH"
"ENSRNOG00000016525",1,"THC_O3_vs_VEH"
"ENSRNOG00000016565",1,"THC_O3_vs_VEH"
"ENSRNOG00000016585",2,"THC_O3_vs_VEH"
"ENSRNOG00000016611",1,"THC_O3_vs_VEH"
"ENSRNOG00000016629",2,"THC_O3_vs_VEH"
"ENSRNOG00000016660",1,"THC_O3_vs_VEH"
"ENSRNOG00000016679",3,"THC_O3_vs_VEH"
"ENSRNOG00000016680",2,"THC_O3_vs_VEH"
"ENSRNOG00000016705",2,"THC_O3_vs_VEH"
"ENSRNOG00000016725",2,"THC_O3_vs_VEH"
"ENSRNOG00000016779",3,"THC_O3_vs_VEH"
"ENSRNOG00000016813",2,"THC_O3_vs_VEH"
"ENSRNOG00000016885",2,"THC_O3_vs_VEH"
"ENSRNOG00000016948",2,"THC_O3_vs_VEH"
"ENSRNOG00000016952",1,"THC_O3_vs_VEH"
"ENSRNOG00000016961",1,"THC_O3_vs_VEH"
"ENSRNOG00000016974",1,"THC_O3_vs_VEH"
"ENSRNOG00000016976",3,"THC_O3_vs_VEH"
"ENSRNOG00000016984",2,"THC_O3_vs_VEH"
"ENSRNOG00000017017",3,"THC_O3_vs_VEH"
"ENSRNOG00000017057",2,"THC_O3_vs_VEH"
"ENSRNOG00000017075",3,"THC_O3_vs_VEH"
"ENSRNOG00000017127",1,"THC_O3_vs_VEH"
"ENSRNOG00000017150",1,"THC_O3_vs_VEH"
"ENSRNOG00000017154",3,"THC_O3_vs_VEH"
"ENSRNOG00000017158",2,"THC_O3_vs_VEH"
"ENSRNOG00000017198",3,"THC_O3_vs_VEH"
"ENSRNOG00000017225",3,"THC_O3_vs_VEH"
"ENSRNOG00000017230",3,"THC_O3_vs_VEH"
"ENSRNOG00000017284",1,"THC_O3_vs_VEH"
"ENSRNOG00000017295",1,"THC_O3_vs_VEH"
"ENSRNOG00000017340",1,"THC_O3_vs_VEH"
"ENSRNOG00000017352",1,"THC_O3_vs_VEH"
"ENSRNOG00000017419",2,"THC_O3_vs_VEH"
"ENSRNOG00000017434",3,"THC_O3_vs_VEH"
"ENSRNOG00000017441",2,"THC_O3_vs_VEH"
"ENSRNOG00000017446",1,"THC_O3_vs_VEH"
"ENSRNOG00000017460",1,"THC_O3_vs_VEH"
"ENSRNOG00000017466",2,"THC_O3_vs_VEH"
"ENSRNOG00000017491",2,"THC_O3_vs_VEH"
"ENSRNOG00000017494",1,"THC_O3_vs_VEH"
"ENSRNOG00000017506",1,"THC_O3_vs_VEH"
"ENSRNOG00000017552",1,"THC_O3_vs_VEH"
"ENSRNOG00000017642",2,"THC_O3_vs_VEH"
"ENSRNOG00000017660",3,"THC_O3_vs_VEH"
"ENSRNOG00000017663",1,"THC_O3_vs_VEH"
"ENSRNOG00000017669",2,"THC_O3_vs_VEH"
"ENSRNOG00000017724",2,"THC_O3_vs_VEH"
"ENSRNOG00000017787",2,"THC_O3_vs_VEH"
"ENSRNOG00000017801",1,"THC_O3_vs_VEH"
"ENSRNOG00000017817",1,"THC_O3_vs_VEH"
"ENSRNOG00000017826",2,"THC_O3_vs_VEH"
"ENSRNOG00000017836",1,"THC_O3_vs_VEH"
"ENSRNOG00000017864",3,"THC_O3_vs_VEH"
"ENSRNOG00000017904",1,"THC_O3_vs_VEH"
"ENSRNOG00000017925",2,"THC_O3_vs_VEH"
"ENSRNOG00000017955",1,"THC_O3_vs_VEH"
"ENSRNOG00000017990",2,"THC_O3_vs_VEH"
"ENSRNOG00000018007",1,"THC_O3_vs_VEH"
"ENSRNOG00000018011",2,"THC_O3_vs_VEH"
"ENSRNOG00000018012",3,"THC_O3_vs_VEH"
"ENSRNOG00000018040",1,"THC_O3_vs_VEH"
"ENSRNOG00000018057",1,"THC_O3_vs_VEH"
"ENSRNOG00000018069",1,"THC_O3_vs_VEH"
"ENSRNOG00000018095",1,"THC_O3_vs_VEH"
"ENSRNOG00000018132",2,"THC_O3_vs_VEH"
"ENSRNOG00000018183",2,"THC_O3_vs_VEH"
"ENSRNOG00000018212",1,"THC_O3_vs_VEH"
"ENSRNOG00000018251",3,"THC_O3_vs_VEH"
"ENSRNOG00000018289",1,"THC_O3_vs_VEH"
"ENSRNOG00000018317",3,"THC_O3_vs_VEH"
"ENSRNOG00000018326",1,"THC_O3_vs_VEH"
"ENSRNOG00000018372",2,"THC_O3_vs_VEH"
"ENSRNOG00000018382",3,"THC_O3_vs_VEH"
"ENSRNOG00000018387",2,"THC_O3_vs_VEH"
"ENSRNOG00000018406",2,"THC_O3_vs_VEH"
"ENSRNOG00000018471",1,"THC_O3_vs_VEH"
"ENSRNOG00000018477",3,"THC_O3_vs_VEH"
"ENSRNOG00000018491",1,"THC_O3_vs_VEH"
"ENSRNOG00000018510",1,"THC_O3_vs_VEH"
"ENSRNOG00000018549",2,"THC_O3_vs_VEH"
"ENSRNOG00000018552",1,"THC_O3_vs_VEH"
"ENSRNOG00000018610",1,"THC_O3_vs_VEH"
"ENSRNOG00000018615",1,"THC_O3_vs_VEH"
"ENSRNOG00000018645",1,"THC_O3_vs_VEH"
"ENSRNOG00000018653",1,"THC_O3_vs_VEH"
"ENSRNOG00000018671",1,"THC_O3_vs_VEH"
"ENSRNOG00000018698",2,"THC_O3_vs_VEH"
"ENSRNOG00000018760",3,"THC_O3_vs_VEH"
"ENSRNOG00000018774",1,"THC_O3_vs_VEH"
"ENSRNOG00000018781",1,"THC_O3_vs_VEH"
"ENSRNOG00000018782",1,"THC_O3_vs_VEH"
"ENSRNOG00000018791",1,"THC_O3_vs_VEH"
"ENSRNOG00000018795",1,"THC_O3_vs_VEH"
"ENSRNOG00000018803",2,"THC_O3_vs_VEH"
"ENSRNOG00000018829",1,"THC_O3_vs_VEH"
"ENSRNOG00000018835",3,"THC_O3_vs_VEH"
"ENSRNOG00000018915",1,"THC_O3_vs_VEH"
"ENSRNOG00000018916",1,"THC_O3_vs_VEH"
"ENSRNOG00000018932",1,"THC_O3_vs_VEH"
"ENSRNOG00000018936",2,"THC_O3_vs_VEH"
"ENSRNOG00000018945",1,"THC_O3_vs_VEH"
"ENSRNOG00000018946",2,"THC_O3_vs_VEH"
"ENSRNOG00000018962",1,"THC_O3_vs_VEH"
"ENSRNOG00000018967",2,"THC_O3_vs_VEH"
"ENSRNOG00000019007",1,"THC_O3_vs_VEH"
"ENSRNOG00000019022",1,"THC_O3_vs_VEH"
"ENSRNOG00000019063",2,"THC_O3_vs_VEH"
"ENSRNOG00000019087",1,"THC_O3_vs_VEH"
"ENSRNOG00000019109",1,"THC_O3_vs_VEH"
"ENSRNOG00000019178",1,"THC_O3_vs_VEH"
"ENSRNOG00000019189",2,"THC_O3_vs_VEH"
"ENSRNOG00000019221",1,"THC_O3_vs_VEH"
"ENSRNOG00000019236",1,"THC_O3_vs_VEH"
"ENSRNOG00000019264",1,"THC_O3_vs_VEH"
"ENSRNOG00000019288",2,"THC_O3_vs_VEH"
"ENSRNOG00000019298",2,"THC_O3_vs_VEH"
"ENSRNOG00000019352",1,"THC_O3_vs_VEH"
"ENSRNOG00000019363",1,"THC_O3_vs_VEH"
"ENSRNOG00000019384",1,"THC_O3_vs_VEH"
"ENSRNOG00000019442",1,"THC_O3_vs_VEH"
"ENSRNOG00000019459",1,"THC_O3_vs_VEH"
"ENSRNOG00000019465",2,"THC_O3_vs_VEH"
"ENSRNOG00000019466",1,"THC_O3_vs_VEH"
"ENSRNOG00000019494",1,"THC_O3_vs_VEH"
"ENSRNOG00000019511",1,"THC_O3_vs_VEH"
"ENSRNOG00000019525",2,"THC_O3_vs_VEH"
"ENSRNOG00000019549",2,"THC_O3_vs_VEH"
"ENSRNOG00000019552",1,"THC_O3_vs_VEH"
"ENSRNOG00000019572",1,"THC_O3_vs_VEH"
"ENSRNOG00000019574",1,"THC_O3_vs_VEH"
"ENSRNOG00000019579",2,"THC_O3_vs_VEH"
"ENSRNOG00000019620",1,"THC_O3_vs_VEH"
"ENSRNOG00000019655",1,"THC_O3_vs_VEH"
"ENSRNOG00000019666",1,"THC_O3_vs_VEH"
"ENSRNOG00000019682",1,"THC_O3_vs_VEH"
"ENSRNOG00000019702",1,"THC_O3_vs_VEH"
"ENSRNOG00000019749",1,"THC_O3_vs_VEH"
"ENSRNOG00000019766",2,"THC_O3_vs_VEH"
"ENSRNOG00000019802",1,"THC_O3_vs_VEH"
"ENSRNOG00000019804",1,"THC_O3_vs_VEH"
"ENSRNOG00000019813",1,"THC_O3_vs_VEH"
"ENSRNOG00000019875",2,"THC_O3_vs_VEH"
"ENSRNOG00000019908",1,"THC_O3_vs_VEH"
"ENSRNOG00000019922",1,"THC_O3_vs_VEH"
"ENSRNOG00000019931",3,"THC_O3_vs_VEH"
"ENSRNOG00000019932",2,"THC_O3_vs_VEH"
"ENSRNOG00000019936",1,"THC_O3_vs_VEH"
"ENSRNOG00000019948",3,"THC_O3_vs_VEH"
"ENSRNOG00000019949",1,"THC_O3_vs_VEH"
"ENSRNOG00000019987",1,"THC_O3_vs_VEH"
"ENSRNOG00000020117",1,"THC_O3_vs_VEH"
"ENSRNOG00000020233",1,"THC_O3_vs_VEH"
"ENSRNOG00000020284",3,"THC_O3_vs_VEH"
"ENSRNOG00000020289",1,"THC_O3_vs_VEH"
"ENSRNOG00000020296",1,"THC_O3_vs_VEH"
"ENSRNOG00000020300",1,"THC_O3_vs_VEH"
"ENSRNOG00000020302",3,"THC_O3_vs_VEH"
"ENSRNOG00000020350",2,"THC_O3_vs_VEH"
"ENSRNOG00000020354",1,"THC_O3_vs_VEH"
"ENSRNOG00000020356",2,"THC_O3_vs_VEH"
"ENSRNOG00000020358",1,"THC_O3_vs_VEH"
"ENSRNOG00000020384",2,"THC_O3_vs_VEH"
"ENSRNOG00000020415",1,"THC_O3_vs_VEH"
"ENSRNOG00000020442",1,"THC_O3_vs_VEH"
"ENSRNOG00000020464",1,"THC_O3_vs_VEH"
"ENSRNOG00000020468",3,"THC_O3_vs_VEH"
"ENSRNOG00000020474",1,"THC_O3_vs_VEH"
"ENSRNOG00000020486",1,"THC_O3_vs_VEH"
"ENSRNOG00000020495",1,"THC_O3_vs_VEH"
"ENSRNOG00000020506",3,"THC_O3_vs_VEH"
"ENSRNOG00000020532",1,"THC_O3_vs_VEH"
"ENSRNOG00000020595",1,"THC_O3_vs_VEH"
"ENSRNOG00000020602",1,"THC_O3_vs_VEH"
"ENSRNOG00000020618",1,"THC_O3_vs_VEH"
"ENSRNOG00000020624",3,"THC_O3_vs_VEH"
"ENSRNOG00000020635",1,"THC_O3_vs_VEH"
"ENSRNOG00000020660",1,"THC_O3_vs_VEH"
"ENSRNOG00000020676",1,"THC_O3_vs_VEH"
"ENSRNOG00000020689",3,"THC_O3_vs_VEH"
"ENSRNOG00000020694",3,"THC_O3_vs_VEH"
"ENSRNOG00000020769",2,"THC_O3_vs_VEH"
"ENSRNOG00000020791",1,"THC_O3_vs_VEH"
"ENSRNOG00000020807",3,"THC_O3_vs_VEH"
"ENSRNOG00000020894",1,"THC_O3_vs_VEH"
"ENSRNOG00000020929",1,"THC_O3_vs_VEH"
"ENSRNOG00000020941",1,"THC_O3_vs_VEH"
"ENSRNOG00000020946",1,"THC_O3_vs_VEH"
"ENSRNOG00000020982",1,"THC_O3_vs_VEH"
"ENSRNOG00000021010",1,"THC_O3_vs_VEH"
"ENSRNOG00000021035",1,"THC_O3_vs_VEH"
"ENSRNOG00000021081",1,"THC_O3_vs_VEH"
"ENSRNOG00000021092",1,"THC_O3_vs_VEH"
"ENSRNOG00000021095",1,"THC_O3_vs_VEH"
"ENSRNOG00000021105",3,"THC_O3_vs_VEH"
"ENSRNOG00000021132",1,"THC_O3_vs_VEH"
"ENSRNOG00000021151",1,"THC_O3_vs_VEH"
"ENSRNOG00000021224",1,"THC_O3_vs_VEH"
"ENSRNOG00000021231",3,"THC_O3_vs_VEH"
"ENSRNOG00000021237",3,"THC_O3_vs_VEH"
"ENSRNOG00000021265",3,"THC_O3_vs_VEH"
"ENSRNOG00000021292",2,"THC_O3_vs_VEH"
"ENSRNOG00000021330",2,"THC_O3_vs_VEH"
"ENSRNOG00000021384",3,"THC_O3_vs_VEH"
"ENSRNOG00000021399",1,"THC_O3_vs_VEH"
"ENSRNOG00000021437",3,"THC_O3_vs_VEH"
"ENSRNOG00000021442",1,"THC_O3_vs_VEH"
"ENSRNOG00000021478",1,"THC_O3_vs_VEH"
"ENSRNOG00000021569",2,"THC_O3_vs_VEH"
"ENSRNOG00000021581",2,"THC_O3_vs_VEH"
"ENSRNOG00000021615",1,"THC_O3_vs_VEH"
"ENSRNOG00000021681",2,"THC_O3_vs_VEH"
"ENSRNOG00000021787",2,"THC_O3_vs_VEH"
"ENSRNOG00000021866",1,"THC_O3_vs_VEH"
"ENSRNOG00000021904",3,"THC_O3_vs_VEH"
"ENSRNOG00000021954",2,"THC_O3_vs_VEH"
"ENSRNOG00000022039",3,"THC_O3_vs_VEH"
"ENSRNOG00000022153",1,"THC_O3_vs_VEH"
"ENSRNOG00000022234",1,"THC_O3_vs_VEH"
"ENSRNOG00000022249",2,"THC_O3_vs_VEH"
"ENSRNOG00000022260",3,"THC_O3_vs_VEH"
"ENSRNOG00000022288",3,"THC_O3_vs_VEH"
"ENSRNOG00000022289",1,"THC_O3_vs_VEH"
"ENSRNOG00000022309",3,"THC_O3_vs_VEH"
"ENSRNOG00000022593",3,"THC_O3_vs_VEH"
"ENSRNOG00000022657",1,"THC_O3_vs_VEH"
"ENSRNOG00000022712",3,"THC_O3_vs_VEH"
"ENSRNOG00000022812",2,"THC_O3_vs_VEH"
"ENSRNOG00000022852",3,"THC_O3_vs_VEH"
"ENSRNOG00000022894",2,"THC_O3_vs_VEH"
"ENSRNOG00000023020",1,"THC_O3_vs_VEH"
"ENSRNOG00000023021",2,"THC_O3_vs_VEH"
"ENSRNOG00000023079",2,"THC_O3_vs_VEH"
"ENSRNOG00000023262",1,"THC_O3_vs_VEH"
"ENSRNOG00000023280",2,"THC_O3_vs_VEH"
"ENSRNOG00000023344",1,"THC_O3_vs_VEH"
"ENSRNOG00000023385",1,"THC_O3_vs_VEH"
"ENSRNOG00000023467",2,"THC_O3_vs_VEH"
"ENSRNOG00000023494",1,"THC_O3_vs_VEH"
"ENSRNOG00000023764",1,"THC_O3_vs_VEH"
"ENSRNOG00000024019",3,"THC_O3_vs_VEH"
"ENSRNOG00000024089",3,"THC_O3_vs_VEH"
"ENSRNOG00000024101",3,"THC_O3_vs_VEH"
"ENSRNOG00000024112",3,"THC_O3_vs_VEH"
"ENSRNOG00000024114",3,"THC_O3_vs_VEH"
"ENSRNOG00000024140",1,"THC_O3_vs_VEH"
"ENSRNOG00000024194",2,"THC_O3_vs_VEH"
"ENSRNOG00000024201",2,"THC_O3_vs_VEH"
"ENSRNOG00000024239",1,"THC_O3_vs_VEH"
"ENSRNOG00000024272",3,"THC_O3_vs_VEH"
"ENSRNOG00000024372",2,"THC_O3_vs_VEH"
"ENSRNOG00000024492",2,"THC_O3_vs_VEH"
"ENSRNOG00000024497",1,"THC_O3_vs_VEH"
"ENSRNOG00000024525",2,"THC_O3_vs_VEH"
"ENSRNOG00000024535",3,"THC_O3_vs_VEH"
"ENSRNOG00000024568",1,"THC_O3_vs_VEH"
"ENSRNOG00000024577",1,"THC_O3_vs_VEH"
"ENSRNOG00000024603",1,"THC_O3_vs_VEH"
"ENSRNOG00000024635",3,"THC_O3_vs_VEH"
"ENSRNOG00000024671",3,"THC_O3_vs_VEH"
"ENSRNOG00000024809",1,"THC_O3_vs_VEH"
"ENSRNOG00000024818",1,"THC_O3_vs_VEH"
"ENSRNOG00000024845",1,"THC_O3_vs_VEH"
"ENSRNOG00000024964",2,"THC_O3_vs_VEH"
"ENSRNOG00000024967",1,"THC_O3_vs_VEH"
"ENSRNOG00000025126",2,"THC_O3_vs_VEH"
"ENSRNOG00000025174",2,"THC_O3_vs_VEH"
"ENSRNOG00000025269",3,"THC_O3_vs_VEH"
"ENSRNOG00000025296",2,"THC_O3_vs_VEH"
"ENSRNOG00000025310",1,"THC_O3_vs_VEH"
"ENSRNOG00000025406",3,"THC_O3_vs_VEH"
"ENSRNOG00000025416",2,"THC_O3_vs_VEH"
"ENSRNOG00000025423",2,"THC_O3_vs_VEH"
"ENSRNOG00000025496",2,"THC_O3_vs_VEH"
"ENSRNOG00000025539",3,"THC_O3_vs_VEH"
"ENSRNOG00000025554",3,"THC_O3_vs_VEH"
"ENSRNOG00000025604",3,"THC_O3_vs_VEH"
"ENSRNOG00000025715",1,"THC_O3_vs_VEH"
"ENSRNOG00000025724",2,"THC_O3_vs_VEH"
"ENSRNOG00000025793",3,"THC_O3_vs_VEH"
"ENSRNOG00000025926",3,"THC_O3_vs_VEH"
"ENSRNOG00000025936",1,"THC_O3_vs_VEH"
"ENSRNOG00000025937",2,"THC_O3_vs_VEH"
"ENSRNOG00000025970",2,"THC_O3_vs_VEH"
"ENSRNOG00000026008",2,"THC_O3_vs_VEH"
"ENSRNOG00000026040",2,"THC_O3_vs_VEH"
"ENSRNOG00000026109",1,"THC_O3_vs_VEH"
"ENSRNOG00000026120",3,"THC_O3_vs_VEH"
"ENSRNOG00000026319",2,"THC_O3_vs_VEH"
"ENSRNOG00000026435",2,"THC_O3_vs_VEH"
"ENSRNOG00000026474",2,"THC_O3_vs_VEH"
"ENSRNOG00000026762",1,"THC_O3_vs_VEH"
"ENSRNOG00000026821",3,"THC_O3_vs_VEH"
"ENSRNOG00000026833",2,"THC_O3_vs_VEH"
"ENSRNOG00000026962",2,"THC_O3_vs_VEH"
"ENSRNOG00000026982",1,"THC_O3_vs_VEH"
"ENSRNOG00000027002",3,"THC_O3_vs_VEH"
"ENSRNOG00000027028",1,"THC_O3_vs_VEH"
"ENSRNOG00000027039",1,"THC_O3_vs_VEH"
"ENSRNOG00000027049",1,"THC_O3_vs_VEH"
"ENSRNOG00000027088",1,"THC_O3_vs_VEH"
"ENSRNOG00000027152",3,"THC_O3_vs_VEH"
"ENSRNOG00000027191",3,"THC_O3_vs_VEH"
"ENSRNOG00000027250",2,"THC_O3_vs_VEH"
"ENSRNOG00000027317",2,"THC_O3_vs_VEH"
"ENSRNOG00000027436",2,"THC_O3_vs_VEH"
"ENSRNOG00000027447",2,"THC_O3_vs_VEH"
"ENSRNOG00000027503",1,"THC_O3_vs_VEH"
"ENSRNOG00000027514",1,"THC_O3_vs_VEH"
"ENSRNOG00000027722",1,"THC_O3_vs_VEH"
