"Gene","Driving_Comparison","LFC"
"ENSRNOG00000001724","VEH_O3_vs_VEH",1.66071683860537
"ENSRNOG00000001738","THC_O3_vs_VEH",1.34868782941316
"ENSRNOG00000001747","THC_O3_vs_VEH",1.40457834669726
"ENSRNOG00000001766","THC_O3_vs_VEH",1.7758461057724
"ENSRNOG00000001767","THC_O3_vs_VEH",1.25582968475736
"ENSRNOG00000001774","THC_O3_vs_VEH",1.21776682372514
"ENSRNOG00000001776","VEH_O3_vs_VEH",-0.948239583374937
"ENSRNOG00000001785","THC_O3_vs_VEH",-0.584675579097091
"ENSRNOG00000001793","THC_O3_vs_VEH",1.04876681169145
"ENSRNOG00000001804","THC_O3_vs_VEH",1.56417604053777
"ENSRNOG00000001808","VEH_O3_vs_VEH",0.346700510355067
"ENSRNOG00000001813","THC_O3_vs_VEH",0.849626667984151
"ENSRNOG00000001825","THC_vs_VEH_O3",-0.400294310369083
"ENSRNOG00000001849","THC_O3_vs_VEH",0.716297919398742
"ENSRNOG00000001868","THC_O3_vs_VEH",0.889926437398055
"ENSRNOG00000001880","THC_O3_vs_VEH",-0.709272774166484
"ENSRNOG00000001885","THC_O3_vs_VEH",0.430110158172666
"ENSRNOG00000001956","THC_O3_vs_VEH",1.34668769017036
"ENSRNOG00000001971","VEH_O3_vs_VEH",0.824977868935148
"ENSRNOG00000001992","THC_O3_vs_VEH",0.393765930523724
"ENSRNOG00000002021","THC_O3_vs_VEH",0.779015791774368
"ENSRNOG00000002036","THC_O3_vs_VEH",0.833610012941657
"ENSRNOG00000002050","THC_O3_vs_VEH",-0.804926993894889
"ENSRNOG00000002051","THC_O3_vs_VEH",0.788586246813859
"ENSRNOG00000002074","VEH_O3_vs_VEH",1.29743961005158
"ENSRNOG00000002080","THC_O3_vs_VEH",0.460324943755083
"ENSRNOG00000002091","THC_O3_vs_VEH",0.803535859270353
"ENSRNOG00000002101","THC_O3_vs_VEH",0.847937087557028
"ENSRNOG00000002115","THC_O3_vs_VEH",-0.667840468756056
"ENSRNOG00000002128","VEH_O3_vs_VEH",0.71706704722864
"ENSRNOG00000002186","THC_O3_vs_VEH",-0.531040600436216
"ENSRNOG00000002214","THC_vs_VEH_O3",0.583378758891497
"ENSRNOG00000002246","THC_O3_vs_VEH",0.56383882457342
"ENSRNOG00000002254","THC_O3_vs_VEH",0.384457415404743
"ENSRNOG00000002276","THC_O3_vs_VEH",1.06564137113572
"ENSRNOG00000002294","THC_O3_vs_VEH",1.25712067678702
"ENSRNOG00000002312","THC_O3_vs_VEH",1.53114985046197
"ENSRNOG00000002332","THC_O3_vs_VEH",0.689720728484978
"ENSRNOG00000002343","VEH_O3_vs_VEH",-2.46123856802494
"ENSRNOG00000002361","VEH_O3_vs_VEH",1.64647418409821
"ENSRNOG00000002368","VEH_O3_vs_VEH",0.465440319800231
"ENSRNOG00000002376","THC_O3_vs_VEH",1.63118185772415
"ENSRNOG00000002393","THC_O3_vs_VEH",0.465243716533106
"ENSRNOG00000002403","THC_O3_vs_VEH",1.05788410633042
"ENSRNOG00000002408","THC_O3_vs_VEH",1.4093688219792
"ENSRNOG00000002436","VEH_O3_vs_VEH",-0.387137475017078
"ENSRNOG00000002443","THC_O3_vs_VEH",1.11693149862995
"ENSRNOG00000002450","THC_O3_vs_VEH",-0.539012503285536
"ENSRNOG00000002469","VEH_O3_vs_VEH",1.08320331894725
"ENSRNOG00000002473","THC_O3_vs_VEH",0.712365727420634
"ENSRNOG00000002537","THC_O3_vs_VEH",2.37228364603996
"ENSRNOG00000002541","VEH_O3_vs_VEH",0.854964328481421
"ENSRNOG00000002556","THC_O3_vs_VEH",0.649521368543807
"ENSRNOG00000002568","THC_O3_vs_VEH",-0.84181485580045
"ENSRNOG00000002609","THC_O3_vs_VEH_O3",0.471453910141451
"ENSRNOG00000002659","THC_vs_VEH",-2.34460129883366
"ENSRNOG00000002693","THC_O3_vs_VEH",-0.755715116111274
"ENSRNOG00000002705","THC_O3_vs_VEH",0.417860618350153
"ENSRNOG00000002710","THC_O3_vs_VEH",0.995572551922019
"ENSRNOG00000002735","THC_O3_vs_VEH",0.641209563502661
"ENSRNOG00000002736","THC_O3_vs_VEH",0.922387557356769
"ENSRNOG00000002792","VEH_O3_vs_VEH",-3.5994625768353
"ENSRNOG00000002802","THC_vs_VEH",-2.02398281171032
"ENSRNOG00000002824","THC_O3_vs_VEH",1.32149498218679
"ENSRNOG00000002862","THC_O3_vs_VEH",1.95780429586777
"ENSRNOG00000002871","THC_O3_vs_VEH",0.992513042720424
"ENSRNOG00000002895","THC_O3_vs_VEH",-0.532631495638906
"ENSRNOG00000002912","THC_O3_vs_VEH",0.418565875960236
"ENSRNOG00000002928","THC_O3_vs_VEH",-0.66699387701469
"ENSRNOG00000002948","THC_O3_vs_VEH",0.872916744351007
"ENSRNOG00000002986","VEH_O3_vs_VEH",1.05062681331228
"ENSRNOG00000002991","THC_O3_vs_VEH",0.610260529286373
"ENSRNOG00000003011","THC_O3_vs_VEH",-0.755069877968528
"ENSRNOG00000003028","THC_vs_VEH_O3",1.20671432998183
"ENSRNOG00000003038","THC_O3_vs_VEH",0.391373250584782
"ENSRNOG00000003121","THC_vs_VEH_O3",3.78349568790193
"ENSRNOG00000003134","THC_O3_vs_VEH",2.94723996867957
"ENSRNOG00000003158","VEH_O3_vs_VEH",-1.29109291152313
"ENSRNOG00000003189","THC_O3_vs_VEH",-0.596990003043641
"ENSRNOG00000003300","THC_O3_vs_VEH",-0.455674764791888
"ENSRNOG00000003310","THC_O3_vs_VEH",0.613432614866371
"ENSRNOG00000003326","VEH_O3_vs_VEH",0.858979610613849
"ENSRNOG00000003399","THC_O3_vs_VEH",0.524759994743016
"ENSRNOG00000003407","THC_O3_vs_VEH",0.797139048074834
"ENSRNOG00000003434","THC_O3_vs_VEH",1.32789431314001
"ENSRNOG00000003443","THC_vs_VEH",-1.50103117370266
"ENSRNOG00000003495","THC_O3_vs_VEH",0.452396490312897
"ENSRNOG00000003520","THC_O3_vs_VEH",-0.534005275510478
"ENSRNOG00000003541","THC_O3_vs_VEH",0.579287317384762
"ENSRNOG00000003553","THC_vs_VEH_O3",5.25314028086895
"ENSRNOG00000003554","THC_O3_vs_VEH",0.697032825381158
"ENSRNOG00000003576","THC_O3_vs_VEH",1.3105074613848
"ENSRNOG00000003626","THC_O3_vs_VEH",-0.816322723860776
"ENSRNOG00000003643","VEH_O3_vs_VEH",1.37188373296539
"ENSRNOG00000003648","THC_vs_VEH",-0.700738791860529
"ENSRNOG00000003699","THC_O3_vs_VEH",-0.63967916520753
"ENSRNOG00000003717","VEH_O3_vs_VEH",-0.502017851352627
"ENSRNOG00000003724","THC_O3_vs_VEH",-0.742047186080789
"ENSRNOG00000003772","THC_O3_vs_VEH",-0.547815906208239
"ENSRNOG00000003773","THC_O3_vs_VEH",-0.626574916210075
"ENSRNOG00000003794","THC_O3_vs_VEH",-1.01642257685008
"ENSRNOG00000003795","THC_O3_vs_VEH",0.364632383048036
"ENSRNOG00000003797","THC_O3_vs_VEH",-0.544053865875272
"ENSRNOG00000003802","THC_O3_vs_VEH",-0.878918431788857
"ENSRNOG00000003803","THC_O3_vs_VEH",1.01026491279228
"ENSRNOG00000003812","THC_O3_vs_VEH",1.02094325047777
"ENSRNOG00000003833","THC_vs_VEH_O3",0.968993921530783
"ENSRNOG00000003844","THC_O3_vs_VEH",0.556999403440993
"ENSRNOG00000003847","THC_O3_vs_VEH",-0.306499146759257
"ENSRNOG00000003863","THC_O3_vs_VEH",-0.763672086992186
"ENSRNOG00000003882","THC_O3_vs_VEH",1.40419568642202
"ENSRNOG00000003901","VEH_O3_vs_VEH",-0.999127830448609
"ENSRNOG00000003953","THC_O3_vs_VEH",0.805858728142608
"ENSRNOG00000003983","THC_O3_vs_VEH",-0.842476450187186
"ENSRNOG00000003993","THC_O3_vs_VEH",1.42253549207392
"ENSRNOG00000004061","THC_O3_vs_VEH",0.923956905779595
"ENSRNOG00000004085","THC_O3_vs_VEH",0.843834695908124
"ENSRNOG00000004089","THC_O3_vs_VEH",1.62611322229191
"ENSRNOG00000004135","THC_O3_vs_VEH",-0.784211040567954
"ENSRNOG00000004185","THC_O3_vs_VEH",0.835672232243337
"ENSRNOG00000004196","THC_O3_vs_VEH",-0.828896002703965
"ENSRNOG00000004198","THC_O3_vs_VEH",1.38750720222621
"ENSRNOG00000004218","THC_O3_vs_VEH",0.822676343415982
"ENSRNOG00000004245","THC_O3_vs_VEH",-0.752336487869792
"ENSRNOG00000004246","THC_O3_vs_VEH",-0.52809765370027
"ENSRNOG00000004263","THC_O3_vs_VEH",0.725073650392601
"ENSRNOG00000004273","VEH_O3_vs_VEH",-0.863099069090731
"ENSRNOG00000004300","THC_O3_vs_VEH",0.432441879225628
"ENSRNOG00000004305","THC_O3_vs_VEH",1.42448118392796
"ENSRNOG00000004367","VEH_O3_vs_VEH",-0.429579572587463
"ENSRNOG00000004377","VEH_O3_vs_VEH",0.756801210619824
"ENSRNOG00000004382","VEH_O3_vs_VEH",0.593405215399972
"ENSRNOG00000004387","THC_O3_vs_VEH",-0.547665568469467
"ENSRNOG00000004415","THC_O3_vs_VEH",0.637812131842216
"ENSRNOG00000004423","THC_O3_vs_VEH",0.883475466846907
"ENSRNOG00000004426","THC_O3_vs_VEH",-0.686595505497243
"ENSRNOG00000004458","THC_O3_vs_VEH",1.57785479774074
"ENSRNOG00000004471","THC_O3_vs_VEH",-0.42546000103384
"ENSRNOG00000004479","THC_O3_vs_VEH_O3",-0.823111583336542
"ENSRNOG00000004500","THC_O3_vs_VEH",-0.794731352979739
"ENSRNOG00000004519","THC_O3_vs_VEH",0.777188578293673
"ENSRNOG00000004521","THC_O3_vs_VEH",0.889937467680028
"ENSRNOG00000004554","THC_vs_VEH_O3",4.25249083378678
"ENSRNOG00000004563","VEH_O3_vs_VEH",0.924539164797347
"ENSRNOG00000004588","VEH_O3_vs_VEH",0.913475284399096
"ENSRNOG00000004608","THC_O3_vs_VEH",-0.72962387089644
"ENSRNOG00000004621","THC_O3_vs_VEH",0.451285386838992
"ENSRNOG00000004649","VEH_O3_vs_VEH",-1.54045147632688
"ENSRNOG00000004657","THC_O3_vs_VEH",0.969864192772271
